text,labels
Where is shipment ID 1234 currently located?,0
Can you tell me the current location of my shipment to New York?,0
I need the current position of the package sent last Tuesday.,0
What's the last known location of the shipment under tracking number 5678?,0
"Locate shipment ID 9012 for me, please.",0
Where has the shipment destined for Chicago reached?,0
Can you update me on the location of our shipment to customer ABC?,0
Find the current whereabouts of my express delivery to Boston.,0
I'm looking for the real-time location of the shipment with ID 3456.,0
Please provide the location status of the overnight shipment to Seattle.,0
Where is shipment ID 1001 now?,0
Can you track the current location of package 2022?,0
Show me the last known position of shipment 3003.,0
I need the current whereabouts of parcel 4004.,0
"Locate shipment 5005 for me, please.",0
What's the location of our delivery numbered 6006?,0
How far has shipment 7007 reached on its route?,0
Update me on the location status of order 8008.,0
Where has the package with tracking number 9009 gotten to?,0
Find the current position of shipment 1010.,0
Track the delivery location of shipment 1111 for me.,0
I'm looking for the real-time location of shipment 1212.,0
Provide the current location of shipment 1313.,0
What's the latest on the whereabouts of package 1414?,0
Can you give me the location update for shipment 1515?,0
Where is my shipment with ID 1616 currently located?,0
Need the current location of our consignment 1717.,0
How close is shipment 1818 to its destination?,0
Is shipment 1919 still on track? Where is it now?,0
Show current location of shipment 2020.,0
Locate the package sent to Chicago with ID 2121.,0
Where's the container numbered 2222 right now?,0
I want the location of my freight 2323.,0
Track where shipment 2424 is at the moment.,0
Find the latest position of my order 2525.,0
What's the status and location of shipment 2626?,0
Where did shipment 2727 last check in?,0
Give me the current location of delivery 2828.,0
Can you check where shipment 2929 is currently?,0
Track the current spot of package 3030.,0
Need an update on the transit location of 3131.,0
Where has shipment 3232 been located last?,0
Current position of our package 3333?,0
"Locate our shipment numbered 3434, please.",0
What's the latest location update for 3535?,0
Find the whereabouts of shipment 3636.,0
Where is the consignment with ID 3737 now?,0
Can you provide the current location of shipment 3838?,0
What's the location of our parcel 3939?,0
I'm looking for the current location of 4040.,0
Show me the last location of shipment 4141.,0
Where is shipment 4242 currently at?,0
Provide the location of package 4343.,0
Need location status for shipment 4444.,0
