Query_for_Shipment_Location,Query_for_Shipment_StartEnd_Date,Query_for_Shipments_sent_in_windowed_time_period
Where is shipment ID 1234 currently located?,"What's the start date for shipment ID 1001?""",Show all shipments sent last week.
Can you tell me the current location of my shipment to New York?,Can you tell me the expected delivery date for package 2022?,List shipments dispatched in the past 24 hours.
I need the current position of the package sent last Tuesday.,When did shipment 3003 leave the warehouse?,Can you provide details of shipments sent in January?
What's the last known location of the shipment under tracking number 5678?,What are the dispatch and arrival dates for parcel 4004?,I need a summary of shipments from the first quarter.
"Locate shipment ID 9012 for me, please.",Provide the shipping timeline for order 5005.,What shipments were sent between March 1st and March 15th?
Where has the shipment destined for Chicago reached?,When is shipment 6006 scheduled to arrive at its destination?,Show me shipments dispatched on April 10th.
Can you update me on the location of our shipment to customer ABC?,Show me the start and end dates for delivery 7007.,List all shipments from the previous month.
Find the current whereabouts of my express delivery to Boston.,What were the dispatch and expected delivery dates for shipment 8008?,Which shipments were sent during the last weekend?
I'm looking for the real-time location of the shipment with ID 3456.,I need the shipping and arrival dates for package 9009.,Provide a list of shipments dispatched in the last 48 hours.
Please provide the location status of the overnight shipment to Seattle.,Detail the transit period for shipment 1010.,Show shipments from the past three days.
Where is shipment ID 1001 now?,When was shipment 1111 sent out and when is it due?,I'm looking for shipments sent in the second quarter.
Can you track the current location of package 2022?,Provide the departure and delivery dates for order 1212.,Detail shipments sent from May 1st to May 31st.
Show me the last known position of shipment 3003.,What's the timeline for shipment 1313's journey?,Can you list shipments sent yesterday?
I need the current whereabouts of parcel 4004.,When did package 1414 start its delivery process?,Show me all shipments dispatched in the last six months.
"Locate shipment 5005 for me, please.",Can you find the expected end date for delivery 1515?,What shipments were sent in the last fiscal year?
What's the location of our delivery numbered 6006?,What are the shipping dates for consignment 1616?,Provide details of shipments from the last 72 hours.
How far has shipment 7007 reached on its route?,Show the start and expected finish dates for shipment 1717.,List shipments dispatched between June 1st and today.
Update me on the location status of order 8008.,When is parcel 1818 supposed to reach its destination?,Show all shipments sent before July 4th.
Where has the package with tracking number 9009 gotten to?,Detail the dispatch and arrival schedule for shipment 1919.,Which shipments were sent during the holiday season last year?
Find the current position of shipment 1010.,Provide the start and end dates for shipment 2020.,I need a summary of shipments from the last two weeks.
Track the delivery location of shipment 1111 for me.,"When did shipment 2121 leave, and when will it be delivered?",Show me shipments dispatched in the past week.
I'm looking for the real-time location of shipment 1212.,What's the delivery schedule for package 2222?,List all shipments from February.
Provide the current location of shipment 1313.,Show the shipping timeline for order 2323.,Can you provide shipments sent between September 15th and October 15th?
What's the latest on the whereabouts of package 1414?,"When was shipment 2424 dispatched, and when is its arrival?",Detail shipments sent on New Year's Eve.
Can you give me the location update for shipment 1515?,I need the estimated delivery date for package 2525.,What shipments were dispatched in the last 7 days?
Where is my shipment with ID 1616 currently located?,What are the start and finish dates for delivery 2626?,Show me shipments from the past fortnight.
Need the current location of our consignment 1717.,Can you provide the shipping period for shipment 2727?,Provide a list of shipments sent in December.
How close is shipment 1818 to its destination?,Detail the dispatch and delivery dates for parcel 2828.,List shipments dispatched on the first day of each month this year.
Is shipment 1919 still on track? Where is it now?,"When did shipment 2929 start, and when will it end?",Which shipments were sent during the summer?
Show current location of shipment 2020.,Show me the transit dates for shipment 3030.,I need details of shipments from last Monday to Friday.
Locate the package sent to Chicago with ID 2121.,Provide the departure and arrival timeline for shipment 3131.,Show all shipments sent during the winter season.
Where's the container numbered 2222 right now?,What's the shipping schedule for package 3232?,List shipments sent on public holidays this year.
I want the location of my freight 2323.,"When was order 3333 sent, and when is it due for delivery?",Can you show shipments dispatched in the last fiscal quarter?
