text,labels
Locate the latest position of 7979.,0
or would shipment 3003 exit the warehouse?,1
"Locate shipment 500r for me, please.",0
what's his first google update to 3535?,0
Detail the shipping schedule for delivery 9292.,1
Provide the departure and delivery dates for order 1212.,1
did someone verify details of shipments sent in february?,2
List all shipments from the previous month.,2
update of tab on shipment 8484.,0
list all those sent until the milk lady's day.,2
can they provide news sent between september 15th that october 16th?,2
What is the start date and the expected date date for the request 4141?,1
"What ' s the sGart date for shipm3bt ID 1001? """,1
List all shipments fDom the previous business week.,2
I need the current whereabouts of parcfl 4004.,0
the shipment 7373 approached the position.,0
What is the start date for the shipping definition 1001?,1
or the whole or entire journey of shipment 4545.,1
can you precisely show shipments sent abroad in the july?,2
"when... did shipment p 2929 ever start, and when will it ever end?",1
Where is the shipping ID 1001 now?,0
detail of sent during early fourth of july.,2
want you find the expected exact dates for february 1515?,1
Where has the package with tracking number 9009 gotten to?,0
i found photos of everything from the final five days.,2
what do the dates − finish dates for dr 2626?,1
and what's the timeline planned for mass delivery 8585?,1
"When was shipment 9191 dispatched, and when will it arrive?",1
please update me on precisely the whereabouts of asteroid 6767.,0
Is shipment 1919 still on track? Where is it now?,0
Show all shipments sent before July 4th.,2
List shipments dispatched during the New Year's week.,2
Detail the shipping schedule for order 7070.,1
would you buzz me about next delivery date for package 2022?,1
Show me the position of package 8989.,0
Please provide the location status of the overnight shipment to Seattle.,0
List all shipments sent during the last Valentine's week.,2
Obouring dates for shipping 5959.,1
administration and dispatch and a schedule for shipment 1919.,1
Detail the Hrans(t period for shipment 1010.,1
Provide a list of shipments dispatched in the last 48 hours.,2
are readers provide a current details of shipment 3838?,0
Detwil shipments sent on New Year ' s Eve.,2
users need the shipping card arrival address under package 9009.,1
now this shipment 6565 goes now.,0
i need check the departure and the delivery dates provided for package id 4343.,1
text me the start... end dates on sector 7007.,1
what's about the legal status of ibm 7474's s location?,0
What shipments were sent in the last fiscal year?,2
take me shipments dispatched in hours given 100 days.,2
what troops were dispatched after the last 50 min?,2
can he determine the delivery date of package 2022?,0
List shipments sent in the last 180 days.,2
Can you show shipments sent in the last two months?,2
how were the approximate dates per consignment 1616?,1
map me the transit facility to shipment 3030.,1
what'd the flight schedule to ms 7979?,1
I need the shipping dates for parcel 3535.,1
from the start and expected collection date on shipment 8989.,1
show no shipping register for number 2323.,1
show shows the expected start and fall expected delivery dates for aircraft package 7575.,1
What shipments were sent during the holiday season last year?,2
Update me on the wherwavouts of 6767.,0
detail were sent between july 1st with november 31st.,2
must i close your start and end dates to shipment 9494?,1
detail runs south to labor day.,2
Can you show shi9Jents Xent in the last two months?,2
show text messages sent this week.,2
can we save the message line for parcel 6464?,1
show the day transit dates correct for shipment year 5959.,1
Current position of our shipment 7878?,0
Find the current spot for shipping 7575.,0
you'll looking to the off - tv location of shipment 1212.,0
list shipments dispatched on the labor service holidays.,2
Can you tell me the current site of my shipment to New York?,0
I need the date of the estimated delivery 9595.,1
my'm checking for the real - time agent with this shipment with id 3456.,0
You need where there are 6262.,0
who close is shipment 1818 and this destination?,0
i need report of developments in this past five days.,2
Provide the shipping timeline for order 5005.,1
karen read the shipping dates inside parcel 3535.,1
Track the current spot of package 3030.,0
show me shipments start early march 24th and may 20th.,2
"when next was a shipment 9191 dispatched, and exactly when then will next it arrive?",1
discuss the descent and arrival timeline with boeing 6868.,1
detail over shipping costs for flight 7070.,1
schedule or start certain late delivery dates for package 7575.,1
Which shipments were dispatched on the last day of the year?,2
Show the dates of the shipping 3030.,1
can he see the traffic location of 6464?,0
list data dispatched to june 2014 and today.,2
Dates expected dates and expected delivery 6262.,1
the copies were sent during next summer?,2
I need the shipping dates for parcel w535.,1
What ' s the latest location update for 35$5?,0
Show current location of shipment 2020.,0
Can you provide details of shipments sent in August?,2
save me that by the past fortnight.,2
list shipments dispatched between december 1st january 25th.,2
You need to know where the shipment of 7272.,0
revised the dispatch and delivery schedule around shipment 1919.,1
Detail the dispatch and expected delivery dates for package 5454.,1
gave me the first operating position along shipment 3003.,0
provide at start a finish location and order 9898.,1
i noticed a change of stats over the first quarter.,2
construction is starting on memorial day.,2
show up shipping and maintenance information for delivered 9797.,1
What charges were sent during the summer?,2
List of shipments sent in the last 90 days.,2
reached the present position on 7979.,0
will you tell him your predicted delivery date for package 2022?,1
Show the location of delivery 7171.,0
Tracj the location of shipment 5555 now.,0
what shipments were going in these next 50 days?,2
annual shipments occur on new year's days.,2
updated the record of shipments from october 1st via october 31st.,2
Detail the start and expected delivery dates for shipment 6262.,1
What's the delivery schedule for package 2222?,1
they need a summary that shipments in the first years of last year.,2
need copy machine in shipment 8080.,0
Where is shipment 4242 currently at?,0
Can you provide the start and end dates for shipment 5656?,1
what for the dispatch of call dates from parcel 4004?,1
"when did pa 3939 come, as when will it stop?",1
I Geed details of shipments froK the last week of June.,2
Find the current spot of shipment 7575.,0
I need the date of the estimated delivery of the package 8080.,1
I need details of shipments from the laZt opening week of the y$ar.,2
Show me shipments from the past 110 days.,2
Show me the position of the package 8989.,0
Where is our shipment 6363 at thls moment?,0
"When did shipmFgt 6969 leave, and wheB is it expected to arrive?",1
Which shipments Eere dispatched on the first Monday of this ysar?,2
I need an uprate on the location of 5757.,0
increase new shipments following the previous holiday season.,2
What are the start and finish dates for delivery 2626?,1
update is on the phone at 6767.,0
detail to shipping database for hr 9292.,1
