text,intent
Where is shipment ID 1234 currently located?,Query_for_Shipment_Location
Can you tell me the current location of my shipment to New York?,Query_for_Shipment_Location
I need the current position of the package sent last Tuesday.,Query_for_Shipment_Location
What's the last known location of the shipment under tracking number 5678?,Query_for_Shipment_Location
"Locate shipment ID 9012 for me, please.",Query_for_Shipment_Location
Where has the shipment destined for Chicago reached?,Query_for_Shipment_Location
Can you update me on the location of our shipment to customer ABC?,Query_for_Shipment_Location
Find the current whereabouts of my express delivery to Boston.,Query_for_Shipment_Location
I'm looking for the real-time location of the shipment with ID 3456.,Query_for_Shipment_Location
Please provide the location status of the overnight shipment to Seattle.,Query_for_Shipment_Location
Where is shipment ID 1001 now?,Query_for_Shipment_Location
Can you track the current location of package 2022?,Query_for_Shipment_Location
Show me the last known position of shipment 3003.,Query_for_Shipment_Location
I need the current whereabouts of parcel 4004.,Query_for_Shipment_Location
"Locate shipment 5005 for me, please.",Query_for_Shipment_Location
What's the location of our delivery numbered 6006?,Query_for_Shipment_Location
How far has shipment 7007 reached on its route?,Query_for_Shipment_Location
Update me on the location status of order 8008.,Query_for_Shipment_Location
Where has the package with tracking number 9009 gotten to?,Query_for_Shipment_Location
Find the current position of shipment 1010.,Query_for_Shipment_Location
Track the delivery location of shipment 1111 for me.,Query_for_Shipment_Location
I'm looking for the real-time location of shipment 1212.,Query_for_Shipment_Location
Provide the current location of shipment 1313.,Query_for_Shipment_Location
What's the latest on the whereabouts of package 1414?,Query_for_Shipment_Location
Can you give me the location update for shipment 1515?,Query_for_Shipment_Location
Where is my shipment with ID 1616 currently located?,Query_for_Shipment_Location
Need the current location of our consignment 1717.,Query_for_Shipment_Location
How close is shipment 1818 to its destination?,Query_for_Shipment_Location
Is shipment 1919 still on track? Where is it now?,Query_for_Shipment_Location
Show current location of shipment 2020.,Query_for_Shipment_Location
Locate the package sent to Chicago with ID 2121.,Query_for_Shipment_Location
Where's the container numbered 2222 right now?,Query_for_Shipment_Location
I want the location of my freight 2323.,Query_for_Shipment_Location
Track where shipment 2424 is at the moment.,Query_for_Shipment_Location
Find the latest position of my order 2525.,Query_for_Shipment_Location
What's the status and location of shipment 2626?,Query_for_Shipment_Location
Where did shipment 2727 last check in?,Query_for_Shipment_Location
Give me the current location of delivery 2828.,Query_for_Shipment_Location
Can you check where shipment 2929 is currently?,Query_for_Shipment_Location
Track the current spot of package 3030.,Query_for_Shipment_Location
Need an update on the transit location of 3131.,Query_for_Shipment_Location
Where has shipment 3232 been located last?,Query_for_Shipment_Location
Current position of our package 3333?,Query_for_Shipment_Location
"Locate our shipment numbered 3434, please.",Query_for_Shipment_Location
What's the latest location update for 3535?,Query_for_Shipment_Location
Find the whereabouts of shipment 3636.,Query_for_Shipment_Location
Where is the consignment with ID 3737 now?,Query_for_Shipment_Location
Can you provide the current location of shipment 3838?,Query_for_Shipment_Location
What's the location of our parcel 3939?,Query_for_Shipment_Location
I'm looking for the current location of 4040.,Query_for_Shipment_Location
Show me the last location of shipment 4141.,Query_for_Shipment_Location
Where is shipment 4242 currently at?,Query_for_Shipment_Location
Provide the location of package 4343.,Query_for_Shipment_Location
Need location status for shipment 4444.,Query_for_Shipment_Location
Track the current location of shipment 4545.,Query_for_Shipment_Location
Where's my package 4646 right now?,Query_for_Shipment_Location
Update on the current location of shipment 4747?,Query_for_Shipment_Location
Current whereabouts of order 4848?,Query_for_Shipment_Location
Find the location of shipment 4949 for me.,Query_for_Shipment_Location
What's the latest on shipment 5050's location?,Query_for_Shipment_Location
"Location update on shipment 5151, please.",Query_for_Shipment_Location
Can you locate shipment 5252 for me?,Query_for_Shipment_Location
Show current location of parcel 5353.,Query_for_Shipment_Location
Where has package 5454 reached?,Query_for_Shipment_Location
Track the location of shipment 5555 now.,Query_for_Shipment_Location
Provide the current position of shipment 5656.,Query_for_Shipment_Location
I need an update on the location of 5757.,Query_for_Shipment_Location
Where is the delivery 5858 currently?,Query_for_Shipment_Location
Latest position of shipment 5959?,Query_for_Shipment_Location
Locate the current spot of package 6060.,Query_for_Shipment_Location
Show me where shipment 6161 is.,Query_for_Shipment_Location
Need the current whereabouts of 6262.,Query_for_Shipment_Location
Where is our shipment 6363 at this moment?,Query_for_Shipment_Location
Can you track the current location of 6464?,Query_for_Shipment_Location
Find where shipment 6565 is now.,Query_for_Shipment_Location
What's the location of package 6666?,Query_for_Shipment_Location
Update me on the whereabouts of 6767.,Query_for_Shipment_Location
Current location of shipment 6868?,Query_for_Shipment_Location
Where has shipment 6969 last been seen?,Query_for_Shipment_Location
Track the progress of package 7070.,Query_for_Shipment_Location
Show the location of delivery 7171.,Query_for_Shipment_Location
Need to know where shipment 7272 is.,Query_for_Shipment_Location
Locate shipment 7373 for current position.,Query_for_Shipment_Location
What's the status of 7474's location?,Query_for_Shipment_Location
Find the current spot of shipment 7575.,Query_for_Shipment_Location
Update on shipment 7676's whereabouts?,Query_for_Shipment_Location
Where is package 7777 right now?,Query_for_Shipment_Location
Current position of our shipment 7878?,Query_for_Shipment_Location
Locate the latest position of 7979.,Query_for_Shipment_Location
Need the location of shipment 8080.,Query_for_Shipment_Location
Where's shipment 8181 at the moment?,Query_for_Shipment_Location
Show current location of 8282.,Query_for_Shipment_Location
Find where my package 8383 is currently.,Query_for_Shipment_Location
Update the location of shipment 8484.,Query_for_Shipment_Location
Where is the delivery 8585 at now?,Query_for_Shipment_Location
Track the current whereabouts of 8686.,Query_for_Shipment_Location
Current location status of 8787?,Query_for_Shipment_Location
Locate the latest update for shipment 8888.,Query_for_Shipment_Location
Show me the position of package 8989.,Query_for_Shipment_Location
Where has shipment 9090 been last located?,Query_for_Shipment_Location
Where is the shipping ID currently 1234?,Query_for_Shipment_Location
Can you tell me the current site of my shipment to New York?,Query_for_Shipment_Location
I need the current position of the package sent last Tuesday.,Query_for_Shipment_Location
What is the last known site for shipment under the 5678 tracking number?,Query_for_Shipment_Location
"Locate the 9012 charging ID site for me, please.",Query_for_Shipment_Location
Where did the shipment for Chicago arrive?,Query_for_Shipment_Location
Can you update me on our shipping site ABC?,Query_for_Shipment_Location
Find my explicit delivery place to Boston.,Query_for_Shipment_Location
I am looking for the actual time of the shipment with ID 3456.,Query_for_Shipment_Location
Please present the case of the shipment site overnight to Seattle.,Query_for_Shipment_Location
Where is the shipping ID 1001 now?,Query_for_Shipment_Location
Can you track the current location of the 2022 package?,Query_for_Shipment_Location
Show me the last known position for shipping 3003.,Query_for_Shipment_Location
I need a current place to expel 4004.,Query_for_Shipment_Location
"Select the 5005 shipment site for me, please.",Query_for_Shipment_Location
What is our delivery site 6006?,Query_for_Shipment_Location
To what extent the shipment of 7007 has reached its way?,Query_for_Shipment_Location
Update me if the request site 8008.,Query_for_Shipment_Location
Where did the package got with the number 9009 tracking?,Query_for_Shipment_Location
Find the current shipment of 1010.,Query_for_Shipment_Location
Follow the 1111 charging connection site for me.,Query_for_Shipment_Location
I am looking for the actual shipping site 1212.,Query_for_Shipment_Location
Provide the current shipping site 1313.,Query_for_Shipment_Location
What is the latest in the location of the package 1414?,Query_for_Shipment_Location
Can you give me update site for 1515 shipping?,Query_for_Shipment_Location
Where is my shipment with ID 1616 currently located?,Query_for_Shipment_Location
You need the current location of our shipment 1717.,Query_for_Shipment_Location
How near the shipment is 1818 to its destination?,Query_for_Shipment_Location
Is the shipment 1919 still on the right track? where is she now?,Query_for_Shipment_Location
Show the current shipping site 2020.,Query_for_Shipment_Location
Select the package sent to Chicago with ID 2121.,Query_for_Shipment_Location
Where is the container mark 2222 now?,Query_for_Shipment_Location
I would like my shipping site 2323.,Query_for_Shipment_Location
Follow the shipment of 2424 currently.,Query_for_Shipment_Location
Find the latest position on my request 2525.,Query_for_Shipment_Location
What is the 2626 charging mode and its location?,Query_for_Shipment_Location
Where is the shipment of 2727 last check -in?,Query_for_Shipment_Location
Give me the current delivery site 2828.,Query_for_Shipment_Location
Can you check the current 2929 shipment?,Query_for_Shipment_Location
Follow the current stain of the 3030 package.,Query_for_Shipment_Location
You need to update the 3131 transit site.,Query_for_Shipment_Location
Where was the charge location 3232?,Query_for_Shipment_Location
The current position on our package is 3333?,Query_for_Shipment_Location
"Locate your shipment site No. 3434, please.",Query_for_Shipment_Location
What is the latest update for the 3535 site?,Query_for_Shipment_Location
Find 3636 shipping location.,Query_for_Shipment_Location
Where is the shipment with ID 3737 now?,Query_for_Shipment_Location
Can you provide the current shipping site 3838?,Query_for_Shipment_Location
What is the expulsion site of 3939?,Query_for_Shipment_Location
I am looking for the current site from 4040.,Query_for_Shipment_Location
Show me the last shipping site 4141.,Query_for_Shipment_Location
Where is the shipment of 4242 currently in?,Query_for_Shipment_Location
Provide the package site 4343.,Query_for_Shipment_Location
You need the site of the site to ship 4444.,Query_for_Shipment_Location
Track the current shipping site 4545.,Query_for_Shipment_Location
Where is the 4646 package now?,Query_for_Shipment_Location
Update on the current site for shipping 4747?,Query_for_Shipment_Location
Where is the request of 4848?,Query_for_Shipment_Location
I am looking for a 4949 shipping site for me.,Query_for_Shipment_Location
What is the last shipment site 5050?,Query_for_Shipment_Location
"Update the site on the shipment 5151, please.",Query_for_Shipment_Location
Can you locate the 5252 shipment for me?,Query_for_Shipment_Location
Show the current location of expelling 5353.,Query_for_Shipment_Location
Where did the package reached 5454?,Query_for_Shipment_Location
Follow the shipping site 5555 now.,Query_for_Shipment_Location
Provide the current shipment of 5656.,Query_for_Shipment_Location
I need to update on the 5757 website.,Query_for_Shipment_Location
Where is the delivery 5858 currently?,Query_for_Shipment_Location
The latest shipping position 5959?,Query_for_Shipment_Location
Locate the current stain site for the package 6060.,Query_for_Shipment_Location
"Show me, where is the shipment of 6161.",Query_for_Shipment_Location
You need where there are 6262.,Query_for_Shipment_Location
Where is our shipment 6363 at this moment?,Query_for_Shipment_Location
Can you track the current site for 6464?,Query_for_Shipment_Location
Find the location of the shipment 6565 now.,Query_for_Shipment_Location
What is the location of the package 6666?,Query_for_Shipment_Location
Update to me on a place of 6767.,Query_for_Shipment_Location
The current site for shipping 6868?,Query_for_Shipment_Location
Where was the shipment of 6969 last time seen?,Query_for_Shipment_Location
Track the progress of the package 7070.,Query_for_Shipment_Location
Delivery site 7171.,Query_for_Shipment_Location
You need to know where the shipment of 7272.,Query_for_Shipment_Location
Determine the location of the 7373 shipment for the current situation.,Query_for_Shipment_Location
What is the case of 7474?,Query_for_Shipment_Location
Find the current spot for shipping 7575.,Query_for_Shipment_Location
Update on the location of the shipment 7676?,Query_for_Shipment_Location
Where is the package 7777 now?,Query_for_Shipment_Location
The current position of our charge 7878?,Query_for_Shipment_Location
Select the latest position on 7979.,Query_for_Shipment_Location
You need the 8080 shipping site.,Query_for_Shipment_Location
Where is the shipment 8181 at the present time?,Query_for_Shipment_Location
The current site is 8282.,Query_for_Shipment_Location
Look for a current 8383 package.,Query_for_Shipment_Location
Update the shipment site 8484.,Query_for_Shipment_Location
Where is the delivery 8585 now?,Query_for_Shipment_Location
Follow the location of 8686.,Query_for_Shipment_Location
The current site status is 8787?,Query_for_Shipment_Location
Locate the latest update for 8888 charges.,Query_for_Shipment_Location
Show me the position of the package 8989.,Query_for_Shipment_Location
Where was the shipment location 9090?,Query_for_Shipment_Location
0,Query_for_Shipment_Location
was all shipment id 1234 presently located?,Query_for_Shipment_Location
may you tell me that current status of my shipment to south spain?,Query_for_Shipment_Location
i need the current distribution of that package started last winter.,Query_for_Shipment_Location
what's the first known location and a shipment the file number 5678?,Query_for_Shipment_Location
"the shipment codes 9012 for me, here.",Query_for_Shipment_Location
whose remained the shipment destined for london reached?,Query_for_Shipment_Location
might someone update me on your route of our shipment to customer origin?,Query_for_Shipment_Location
send out current whereabouts of my express delivery with you.,Query_for_Shipment_Location
i's sorry for the on - world location of the shipment with the 3456.,Query_for_Shipment_Location
please provide physical location data of all remaining shipment to seattle.,Query_for_Shipment_Location
she gets shipment id 1001 right?,Query_for_Shipment_Location
may you track our approximate location on package 2022?,Query_for_Shipment_Location
2007 took the internationally known position for shipment 3003.,Query_for_Shipment_Location
then need the current transmission of station 4004.,Query_for_Shipment_Location
"order shipment 5005 to us, please.",Query_for_Shipment_Location
it's them location of your family numbered 6006?,Query_for_Shipment_Location
what far was shipment 7007 gone on its own?,Query_for_Shipment_Location
update facebook about the full status of flight 8008.,Query_for_Shipment_Location
and has the package under your number 9009 gotten this?,Query_for_Shipment_Location
know your current location of shipment 1010.,Query_for_Shipment_Location
at our delivery location following shipment 1111 of me.,Query_for_Shipment_Location
you'll looking to the off - tv location of shipment 1212.,Query_for_Shipment_Location
provide your complete records of shipment 1313.,Query_for_Shipment_Location
what'about the latest with the situation at package 1414?,Query_for_Shipment_Location
can you email anyone some location update concerning shipment 1515?,Query_for_Shipment_Location
why is my shipment containing the 1616 currently stored?,Query_for_Shipment_Location
even the perfect location is our casa 1717.,Query_for_Shipment_Location
second coming is shipment 1818 to that destination?,Query_for_Shipment_Location
is shipment 1919 again upon track? or is logan now?,Query_for_Shipment_Location
security and performance of shipment 2020.,Query_for_Shipment_Location
locate another package carrier to france with il 2121.,Query_for_Shipment_Location
where'd one container of 2222 right side?,Query_for_Shipment_Location
i want the location is hospital room 2323.,Query_for_Shipment_Location
track 13 shipment 2424 is on the terminus.,Query_for_Shipment_Location
for the latest edition of my flight 2525.,Query_for_Shipment_Location
what's my approximate... location from shipment 2626?,Query_for_Shipment_Location
so would shipment 2727 last pull in?,Query_for_Shipment_Location
give me his current whereabouts at delivery 2828.,Query_for_Shipment_Location
can i check when shipment 2929 is stored?,Query_for_Shipment_Location
near to current spot of ngc 3030.,Query_for_Shipment_Location
received an allocation from the transit frequency of 3131.,Query_for_Shipment_Location
what has shipment 3232 be called last?,Query_for_Shipment_Location
exact position of the spacecraft 3333?,Query_for_Shipment_Location
"meet our shipment form 3434, 001.",Query_for_Shipment_Location
so'tis their latest software update for 3535?,Query_for_Shipment_Location
is the source regarding shipment 3636.,Query_for_Shipment_Location
where should a consignment under section 3737 now?,Query_for_Shipment_Location
are readers provide a current details of shipment 3838?,Query_for_Shipment_Location
reckon'rs the value of a parcel 3939?,Query_for_Shipment_Location
i'have left at the geographical location of 4040.,Query_for_Shipment_Location
show me your top part of shipment 4141.,Query_for_Shipment_Location
going to shipment 4242 parked at?,Query_for_Shipment_Location
changed the location to us 4343.,Query_for_Shipment_Location
radio serial number for shipment 4444.,Query_for_Shipment_Location
reduced the delivery frequency of shipment 4545.,Query_for_Shipment_Location
and's that package 4646 right off?,Query_for_Shipment_Location
update on our recent whereabouts of shipment 4747?,Query_for_Shipment_Location
actual whereabouts approximately the 4848?,Query_for_Shipment_Location
add the address of shipment 4949 for now.,Query_for_Shipment_Location
he'll their latest in shipment 5050's location?,Query_for_Shipment_Location
"was located on shipment 5151, france.",Query_for_Shipment_Location
did somebody catch shipment 5252 for me?,Query_for_Shipment_Location
under current location and site 5353.,Query_for_Shipment_Location
if got flight 5454 reached?,Query_for_Shipment_Location
track and location where shipment 5555 units.,Query_for_Shipment_Location
provide interim delivery status of shipment 5656.,Query_for_Shipment_Location
people need all update to the spirit of 5757.,Query_for_Shipment_Location
where remaining available model 5858 currently?,Query_for_Shipment_Location
who call is shipment 5959?,Query_for_Shipment_Location
locate my current station at package 6060.,Query_for_Shipment_Location
show off what shipment 6161 began.,Query_for_Shipment_Location
need as current riders were 6262.,Query_for_Shipment_Location
where went the shipment 6363 in our moment?,Query_for_Shipment_Location
could you track the latest location in 6464?,Query_for_Shipment_Location
burnt out shipment 6565 is parked.,Query_for_Shipment_Location
what's their history of room 6666?,Query_for_Shipment_Location
described below on his whereabouts of 6767.,Query_for_Shipment_Location
notes from the shipment 6868?,Query_for_Shipment_Location
why having shipment 6969 last been used?,Query_for_Shipment_Location
track connection site with package 7070.,Query_for_Shipment_Location
show weak activation of nm 7171.,Query_for_Shipment_Location
got to discover where shipment 7272 went.,Query_for_Shipment_Location
the shipment 7373 approached the position.,Query_for_Shipment_Location
where'd their nature of 7474's location?,Query_for_Shipment_Location
given their current disposition of shipment 7575.,Query_for_Shipment_Location
update... shipment 7676'fleet movements?,Query_for_Shipment_Location
where stood his 7777 right off?,Query_for_Shipment_Location
ship status in our shipment 7878?,Query_for_Shipment_Location
number of latest grave of 7979.,Query_for_Shipment_Location
need copy machine in shipment 8080.,Query_for_Shipment_Location
dover's shipment 8181... paris airport?,Query_for_Shipment_Location
main station location at 8282.,Query_for_Shipment_Location
check out downloaded package 8383 is currently.,Query_for_Shipment_Location
correction of location after shipment 8484.,Query_for_Shipment_Location
where sat the delivery 8585 old most?,Query_for_Shipment_Location
searching for known whereabouts of 8686.,Query_for_Shipment_Location
current membership given as 8787?,Query_for_Shipment_Location
contains an latest date for shipment 8888.,Query_for_Shipment_Location
and is the position of engine 8989.,Query_for_Shipment_Location
when does shipment 9090 been last month?,Query_for_Shipment_Location
how is shipment plate 1234 presently located?,Query_for_Shipment_Location
can you hand me your current situation of that shipment to new amsterdam?,Query_for_Shipment_Location
i clinched the second position of the governor just last tuesday.,Query_for_Shipment_Location
whose's the last known copy of my shipment plus the number 5678?,Query_for_Shipment_Location
"locate shipment gate 9012 with me, yes.",Query_for_Shipment_Location
or has this shipment destined under chicago reached?,Query_for_Shipment_Location
could you update me in the condition of the shipment at customer abc?,Query_for_Shipment_Location
knowing both exact whereabouts of my first delivery to boston.,Query_for_Shipment_Location
i'm searching for the real - time from all the shipment and android 3456.,Query_for_Shipment_Location
please have the proper number of one overnight shipment to seattle.,Query_for_Shipment_Location
stamp on shipment id 1001 card?,Query_for_Shipment_Location
will anyone track the current location at this 2022?,Query_for_Shipment_Location
gave me the first operating position along shipment 3003.,Query_for_Shipment_Location
we need the prior whereabouts to parcel 4004.,Query_for_Shipment_Location
"fucking shipment 5005 help me, man.",Query_for_Shipment_Location
what'tis new whereabouts of our headquarters numbered 6006?,Query_for_Shipment_Location
how badly has shipment 7007 gone on my descent?,Query_for_Shipment_Location
were left on the current status on order 8008.,Query_for_Shipment_Location
when has my package with tracking device 9009 gotten him?,Query_for_Shipment_Location
assume your present position of shipment 1010.,Query_for_Shipment_Location
resulting from delivery date of shipment 1111 from me.,Query_for_Shipment_Location
v'm banking on the life - time value of shipment 1212.,Query_for_Shipment_Location
probably the right time of shipment 1313.,Query_for_Shipment_Location
